status,running-time,converged,first-run,variant-type,run-number,jvm-invocation,benchmark,label,machine
Startup,4201,false,true,best,0,0,avrora,expected-best-steady-state,m1
Warmup,3733,false,false,best,1,0,avrora,expected-best-steady-state,m1
Warmup,3644,false,false,best,2,0,avrora,expected-best-steady-state,m1
Warmup,3644,false,false,best,3,0,avrora,expected-best-steady-state,m1
Steady-state,3615,true,false,best,4,0,avrora,expected-best-steady-state,m1
Startup,4195,false,true,best,0,1,avrora,expected-best-steady-state,m1
Warmup,3753,false,false,best,1,1,avrora,expected-best-steady-state,m1
Warmup,3608,false,false,best,2,1,avrora,expected-best-steady-state,m1
Warmup,3634,false,false,best,3,1,avrora,expected-best-steady-state,m1
Steady-state,3613,true,false,best,4,1,avrora,expected-best-steady-state,m1
Startup,4187,false,true,best,0,2,avrora,expected-best-steady-state,m1
Warmup,3708,false,false,best,1,2,avrora,expected-best-steady-state,m1
Warmup,3606,false,false,best,2,2,avrora,expected-best-steady-state,m1
Warmup,3637,false,false,best,3,2,avrora,expected-best-steady-state,m1
Steady-state,3629,true,false,best,4,2,avrora,expected-best-steady-state,m1
Startup,4237,false,true,best,0,3,avrora,expected-best-steady-state,m1
Warmup,3754,false,false,best,1,3,avrora,expected-best-steady-state,m1
Warmup,3624,false,false,best,2,3,avrora,expected-best-steady-state,m1
Warmup,3624,false,false,best,3,3,avrora,expected-best-steady-state,m1
Steady-state,3641,true,false,best,4,3,avrora,expected-best-steady-state,m1
Startup,4195,false,true,best,0,4,avrora,expected-best-steady-state,m1
Warmup,3723,false,false,best,1,4,avrora,expected-best-steady-state,m1
Warmup,3615,false,false,best,2,4,avrora,expected-best-steady-state,m1
Warmup,3637,false,false,best,3,4,avrora,expected-best-steady-state,m1
Steady-state,3611,true,false,best,4,4,avrora,expected-best-steady-state,m1
Startup,4222,false,true,best,0,5,avrora,expected-best-steady-state,m1
Warmup,3711,false,false,best,1,5,avrora,expected-best-steady-state,m1
Warmup,3606,false,false,best,2,5,avrora,expected-best-steady-state,m1
Warmup,3621,false,false,best,3,5,avrora,expected-best-steady-state,m1
Steady-state,3613,true,false,best,4,5,avrora,expected-best-steady-state,m1
Startup,4274,false,true,best,0,6,avrora,expected-best-steady-state,m1
Warmup,3741,false,false,best,1,6,avrora,expected-best-steady-state,m1
Warmup,3670,false,false,best,2,6,avrora,expected-best-steady-state,m1
Warmup,3670,false,false,best,3,6,avrora,expected-best-steady-state,m1
Steady-state,3643,true,false,best,4,6,avrora,expected-best-steady-state,m1
Startup,4203,false,true,best,0,7,avrora,expected-best-steady-state,m1
Warmup,3735,false,false,best,1,7,avrora,expected-best-steady-state,m1
Warmup,3645,false,false,best,2,7,avrora,expected-best-steady-state,m1
Warmup,3662,false,false,best,3,7,avrora,expected-best-steady-state,m1
Steady-state,3638,true,false,best,4,7,avrora,expected-best-steady-state,m1
Startup,4146,false,true,best,0,8,avrora,expected-best-steady-state,m1
Warmup,3669,false,false,best,1,8,avrora,expected-best-steady-state,m1
Warmup,3633,false,false,best,2,8,avrora,expected-best-steady-state,m1
Warmup,3610,false,false,best,3,8,avrora,expected-best-steady-state,m1
Steady-state,3625,true,false,best,4,8,avrora,expected-best-steady-state,m1
Startup,4241,false,true,best,0,9,avrora,expected-best-steady-state,m1
Warmup,3709,false,false,best,1,9,avrora,expected-best-steady-state,m1
Warmup,3609,false,false,best,2,9,avrora,expected-best-steady-state,m1
Warmup,3633,false,false,best,3,9,avrora,expected-best-steady-state,m1
Steady-state,3605,true,false,best,4,9,avrora,expected-best-steady-state,m1
Startup,4207,false,true,best,0,10,avrora,expected-best-steady-state,m1
Warmup,3744,false,false,best,1,10,avrora,expected-best-steady-state,m1
Warmup,3630,false,false,best,2,10,avrora,expected-best-steady-state,m1
Warmup,3629,false,false,best,3,10,avrora,expected-best-steady-state,m1
Steady-state,3618,true,false,best,4,10,avrora,expected-best-steady-state,m1
Startup,4226,false,true,best,0,11,avrora,expected-best-steady-state,m1
Warmup,3795,false,false,best,1,11,avrora,expected-best-steady-state,m1
Warmup,3654,false,false,best,2,11,avrora,expected-best-steady-state,m1
