status,running-time,converged,first-run,variant-type,run-number,jvm-invocation,benchmark,label,machine
Startup,2225,false,true,best,0,0,bloat,expected-best-steady-state,m1
Warmup,1564,false,false,best,1,0,bloat,expected-best-steady-state,m1
Warmup,1157,false,false,best,2,0,bloat,expected-best-steady-state,m1
Warmup,1122,false,false,best,3,0,bloat,expected-best-steady-state,m1
Warmup,1138,false,false,best,4,0,bloat,expected-best-steady-state,m1
Steady-state,1114,true,false,best,5,0,bloat,expected-best-steady-state,m1
Startup,2241,false,true,best,0,1,bloat,expected-best-steady-state,m1
Warmup,1600,false,false,best,1,1,bloat,expected-best-steady-state,m1
Warmup,1418,false,false,best,2,1,bloat,expected-best-steady-state,m1
Warmup,1294,false,false,best,3,1,bloat,expected-best-steady-state,m1
Warmup,1180,false,false,best,4,1,bloat,expected-best-steady-state,m1
Warmup,1163,false,false,best,5,1,bloat,expected-best-steady-state,m1
Warmup,1163,false,false,best,6,1,bloat,expected-best-steady-state,m1
Steady-state,1166,true,false,best,7,1,bloat,expected-best-steady-state,m1
Startup,2225,false,true,best,0,2,bloat,expected-best-steady-state,m1
Warmup,1599,false,false,best,1,2,bloat,expected-best-steady-state,m1
Warmup,1411,false,false,best,2,2,bloat,expected-best-steady-state,m1
Warmup,1298,false,false,best,3,2,bloat,expected-best-steady-state,m1
Warmup,1171,false,false,best,4,2,bloat,expected-best-steady-state,m1
Warmup,1165,false,false,best,5,2,bloat,expected-best-steady-state,m1
Warmup,1145,false,false,best,6,2,bloat,expected-best-steady-state,m1
Steady-state,1159,true,false,best,7,2,bloat,expected-best-steady-state,m1
Startup,2200,false,true,best,0,3,bloat,expected-best-steady-state,m1
Warmup,1590,false,false,best,1,3,bloat,expected-best-steady-state,m1
Warmup,1188,false,false,best,2,3,bloat,expected-best-steady-state,m1
Warmup,1161,false,false,best,3,3,bloat,expected-best-steady-state,m1
Warmup,1157,false,false,best,4,3,bloat,expected-best-steady-state,m1
Steady-state,1149,true,false,best,5,3,bloat,expected-best-steady-state,m1
Startup,2286,false,true,best,0,4,bloat,expected-best-steady-state,m1
Warmup,1595,false,false,best,1,4,bloat,expected-best-steady-state,m1
Warmup,1184,false,false,best,2,4,bloat,expected-best-steady-state,m1
Warmup,1142,false,false,best,3,4,bloat,expected-best-steady-state,m1
Warmup,1146,false,false,best,4,4,bloat,expected-best-steady-state,m1
Steady-state,1121,true,false,best,5,4,bloat,expected-best-steady-state,m1
Startup,2262,false,true,best,0,5,bloat,expected-best-steady-state,m1
Warmup,1638,false,false,best,1,5,bloat,expected-best-steady-state,m1
Warmup,1200,false,false,best,2,5,bloat,expected-best-steady-state,m1
Warmup,1162,false,false,best,3,5,bloat,expected-best-steady-state,m1
Warmup,1175,false,false,best,4,5,bloat,expected-best-steady-state,m1
Steady-state,1153,true,false,best,5,5,bloat,expected-best-steady-state,m1
Startup,2306,false,true,best,0,6,bloat,expected-best-steady-state,m1
Warmup,1594,false,false,best,1,6,bloat,expected-best-steady-state,m1
Warmup,1331,false,false,best,2,6,bloat,expected-best-steady-state,m1
Warmup,1184,false,false,best,3,6,bloat,expected-best-steady-state,m1
Warmup,1191,false,false,best,4,6,bloat,expected-best-steady-state,m1
Warmup,1171,false,false,best,5,6,bloat,expected-best-steady-state,m1
Steady-state,1179,true,false,best,6,6,bloat,expected-best-steady-state,m1
Startup,2210,false,true,best,0,7,bloat,expected-best-steady-state,m1
Warmup,1575,false,false,best,1,7,bloat,expected-best-steady-state,m1
Warmup,1173,false,false,best,2,7,bloat,expected-best-steady-state,m1
Warmup,1139,false,false,best,3,7,bloat,expected-best-steady-state,m1
Warmup,1152,false,false,best,4,7,bloat,expected-best-steady-state,m1
Steady-state,1135,true,false,best,5,7,bloat,expected-best-steady-state,m1
Startup,2259,false,true,best,0,8,bloat,expected-best-steady-state,m1
Warmup,1662,false,false,best,1,8,bloat,expected-best-steady-state,m1
Warmup,1465,false,false,best,2,8,bloat,expected-best-steady-state,m1
Warmup,1303,false,false,best,3,8,bloat,expected-best-steady-state,m1
Warmup,1181,false,false,best,4,8,bloat,expected-best-steady-state,m1
Warmup,1172,false,false,best,5,8,bloat,expected-best-steady-state,m1
Warmup,1168,false,false,best,6,8,bloat,expected-best-steady-state,m1
Steady-state,1164,true,false,best,7,8,bloat,expected-best-steady-state,m1
Startup,2238,false,true,best,0,9,bloat,expected-best-steady-state,m1
Warmup,1640,false,false,best,1,9,bloat,expected-best-steady-state,m1
