status,running-time,converged,first-run,variant-type,run-number,jvm-invocation,benchmark,label,machine
Startup,2611,false,true,best,0,0,chart,expected-best-steady-state,m1
Warmup,1594,false,false,best,1,0,chart,expected-best-steady-state,m1
Warmup,1596,false,false,best,2,0,chart,expected-best-steady-state,m1
Warmup,1559,false,false,best,3,0,chart,expected-best-steady-state,m1
Steady-state,1607,true,false,best,4,0,chart,expected-best-steady-state,m1
Startup,2614,false,true,best,0,1,chart,expected-best-steady-state,m1
Warmup,1645,false,false,best,1,1,chart,expected-best-steady-state,m1
Warmup,1561,false,false,best,2,1,chart,expected-best-steady-state,m1
Warmup,1551,false,false,best,3,1,chart,expected-best-steady-state,m1
Steady-state,1548,true,false,best,4,1,chart,expected-best-steady-state,m1
Startup,2604,false,true,best,0,2,chart,expected-best-steady-state,m1
Warmup,1653,false,false,best,1,2,chart,expected-best-steady-state,m1
Warmup,1568,false,false,best,2,2,chart,expected-best-steady-state,m1
Warmup,1560,false,false,best,3,2,chart,expected-best-steady-state,m1
Steady-state,1559,true,false,best,4,2,chart,expected-best-steady-state,m1
Startup,2603,false,true,best,0,3,chart,expected-best-steady-state,m1
Warmup,1662,false,false,best,1,3,chart,expected-best-steady-state,m1
Warmup,1563,false,false,best,2,3,chart,expected-best-steady-state,m1
Warmup,1562,false,false,best,3,3,chart,expected-best-steady-state,m1
Steady-state,1556,true,false,best,4,3,chart,expected-best-steady-state,m1
Startup,2613,false,true,best,0,4,chart,expected-best-steady-state,m1
Warmup,1622,false,false,best,1,4,chart,expected-best-steady-state,m1
Warmup,1580,false,false,best,2,4,chart,expected-best-steady-state,m1
Warmup,1565,false,false,best,3,4,chart,expected-best-steady-state,m1
Steady-state,1552,true,false,best,4,4,chart,expected-best-steady-state,m1
Startup,2588,false,true,best,0,5,chart,expected-best-steady-state,m1
Warmup,1626,false,false,best,1,5,chart,expected-best-steady-state,m1
Warmup,1557,false,false,best,2,5,chart,expected-best-steady-state,m1
Warmup,1556,false,false,best,3,5,chart,expected-best-steady-state,m1
Steady-state,1560,true,false,best,4,5,chart,expected-best-steady-state,m1
Startup,2654,false,true,best,0,6,chart,expected-best-steady-state,m1
Warmup,1620,false,false,best,1,6,chart,expected-best-steady-state,m1
Warmup,1580,false,false,best,2,6,chart,expected-best-steady-state,m1
Warmup,1568,false,false,best,3,6,chart,expected-best-steady-state,m1
Steady-state,1555,true,false,best,4,6,chart,expected-best-steady-state,m1
Startup,2605,false,true,best,0,7,chart,expected-best-steady-state,m1
Warmup,1618,false,false,best,1,7,chart,expected-best-steady-state,m1
Warmup,1561,false,false,best,2,7,chart,expected-best-steady-state,m1
Warmup,1596,false,false,best,3,7,chart,expected-best-steady-state,m1
Steady-state,1566,true,false,best,4,7,chart,expected-best-steady-state,m1
Startup,2608,false,true,best,0,8,chart,expected-best-steady-state,m1
Warmup,1649,false,false,best,1,8,chart,expected-best-steady-state,m1
Warmup,1564,false,false,best,2,8,chart,expected-best-steady-state,m1
Warmup,1564,false,false,best,3,8,chart,expected-best-steady-state,m1
Steady-state,1557,true,false,best,4,8,chart,expected-best-steady-state,m1
Startup,2666,false,true,best,0,9,chart,expected-best-steady-state,m1
Warmup,1632,false,false,best,1,9,chart,expected-best-steady-state,m1
Warmup,1545,false,false,best,2,9,chart,expected-best-steady-state,m1
Warmup,1542,false,false,best,3,9,chart,expected-best-steady-state,m1
Steady-state,1542,true,false,best,4,9,chart,expected-best-steady-state,m1
Startup,2667,false,true,best,0,10,chart,expected-best-steady-state,m1
Warmup,1627,false,false,best,1,10,chart,expected-best-steady-state,m1
Warmup,1582,false,false,best,2,10,chart,expected-best-steady-state,m1
Warmup,1604,false,false,best,3,10,chart,expected-best-steady-state,m1
Steady-state,1560,true,false,best,4,10,chart,expected-best-steady-state,m1
Startup,2611,false,true,best,0,11,chart,expected-best-steady-state,m1
Warmup,1627,false,false,best,1,11,chart,expected-best-steady-state,m1
Warmup,1565,false,false,best,2,11,chart,expected-best-steady-state,m1
Warmup,1564,false,false,best,3,11,chart,expected-best-steady-state,m1
Steady-state,1562,true,false,best,4,11,chart,expected-best-steady-state,m1
Startup,2603,false,true,best,0,12,chart,expected-best-steady-state,m1
Warmup,1654,false,false,best,1,12,chart,expected-best-steady-state,m1
Warmup,1565,false,false,best,2,12,chart,expected-best-steady-state,m1
Warmup,1558,false,false,best,3,12,chart,expected-best-steady-state,m1
Steady-state,1581,true,false,best,4,12,chart,expected-best-steady-state,m1
Startup,2642,false,true,best,0,13,chart,expected-best-steady-state,m1
Warmup,1668,false,false,best,1,13,chart,expected-best-steady-state,m1
Warmup,1557,false,false,best,2,13,chart,expected-best-steady-state,m1
Warmup,1548,false,false,best,3,13,chart,expected-best-steady-state,m1
Warmup,1545,false,false,best,4,13,chart,expected-best-steady-state,m1
Steady-state,1540,true,false,best,5,13,chart,expected-best-steady-state,m1
Startup,2615,false,true,best,0,14,chart,expected-best-steady-state,m1
Warmup,1588,false,false,best,1,14,chart,expected-best-steady-state,m1
Warmup,1607,false,false,best,2,14,chart,expected-best-steady-state,m1
Warmup,1560,false,false,best,3,14,chart,expected-best-steady-state,m1
Steady-state,1555,true,false,best,4,14,chart,expected-best-steady-state,m1
Startup,2615,false,true,best,0,15,chart,expected-best-steady-state,m1
Warmup,1641,false,false,best,1,15,chart,expected-best-steady-state,m1
Warmup,1591,false,false,best,2,15,chart,expected-best-steady-state,m1
Warmup,1545,false,false,best,3,15,chart,expected-best-steady-state,m1
Steady-state,1540,true,false,best,4,15,chart,expected-best-steady-state,m1
Startup,2592,false,true,best,0,16,chart,expected-best-steady-state,m1
Warmup,1620,false,false,best,1,16,chart,expected-best-steady-state,m1
Warmup,1601,false,false,best,2,16,chart,expected-best-steady-state,m1
Warmup,1561,false,false,best,3,16,chart,expected-best-steady-state,m1
Steady-state,1560,true,false,best,4,16,chart,expected-best-steady-state,m1
Startup,2646,false,true,best,0,17,chart,expected-best-steady-state,m1
Warmup,1664,false,false,best,1,17,chart,expected-best-steady-state,m1
Warmup,1561,false,false,best,2,17,chart,expected-best-steady-state,m1
Warmup,1558,false,false,best,3,17,chart,expected-best-steady-state,m1
Warmup,1548,false,false,best,4,17,chart,expected-best-steady-state,m1
Steady-state,1547,true,false,best,5,17,chart,expected-best-steady-state,m1
Startup,2613,false,true,best,0,18,chart,expected-best-steady-state,m1
Warmup,1621,false,false,best,1,18,chart,expected-best-steady-state,m1
Warmup,1543,false,false,best,2,18,chart,expected-best-steady-state,m1
Warmup,1540,false,false,best,3,18,chart,expected-best-steady-state,m1
Steady-state,1543,true,false,best,4,18,chart,expected-best-steady-state,m1
Startup,2645,false,true,best,0,19,chart,expected-best-steady-state,m1
Warmup,1612,false,false,best,1,19,chart,expected-best-steady-state,m1
Warmup,1558,false,false,best,2,19,chart,expected-best-steady-state,m1
Warmup,1552,false,false,best,3,19,chart,expected-best-steady-state,m1
Steady-state,1554,true,false,best,4,19,chart,expected-best-steady-state,m1
Startup,2611,false,true,best,0,0,chart,expected-best-startup,m1
Warmup,1594,false,false,best,1,0,chart,expected-best-startup,m1
Warmup,1596,false,false,best,2,0,chart,expected-best-startup,m1
Warmup,1559,false,false,best,3,0,chart,expected-best-startup,m1
Steady-state,1607,true,false,best,4,0,chart,expected-best-startup,m1
