status,running-time,converged,first-run,variant-type,run-number,jvm-invocation,benchmark,label,machine
Startup,1814,false,true,best+original,0,0,lusearch,expected-best-steady-state+original,m1
Warmup,697,false,false,best+original,1,0,lusearch,expected-best-steady-state+original,m1
Warmup,571,false,false,best+original,2,0,lusearch,expected-best-steady-state+original,m1
Warmup,536,false,false,best+original,3,0,lusearch,expected-best-steady-state+original,m1
Warmup,584,false,false,best+original,4,0,lusearch,expected-best-steady-state+original,m1
Warmup,559,false,false,best+original,5,0,lusearch,expected-best-steady-state+original,m1
Warmup,507,false,false,best+original,6,0,lusearch,expected-best-steady-state+original,m1
Warmup,521,false,false,best+original,7,0,lusearch,expected-best-steady-state+original,m1
Warmup,553,false,false,best+original,8,0,lusearch,expected-best-steady-state+original,m1
Warmup,499,false,false,best+original,9,0,lusearch,expected-best-steady-state+original,m1
Warmup,529,false,false,best+original,10,0,lusearch,expected-best-steady-state+original,m1
Warmup,623,false,false,best+original,11,0,lusearch,expected-best-steady-state+original,m1
Warmup,548,false,false,best+original,12,0,lusearch,expected-best-steady-state+original,m1
Warmup,541,false,false,best+original,13,0,lusearch,expected-best-steady-state+original,m1
Warmup,523,false,false,best+original,14,0,lusearch,expected-best-steady-state+original,m1
Steady-state,507,true,false,best+original,15,0,lusearch,expected-best-steady-state+original,m1
Startup,2054,false,true,best+original,0,1,lusearch,expected-best-steady-state+original,m1
Warmup,699,false,false,best+original,1,1,lusearch,expected-best-steady-state+original,m1
Warmup,542,false,false,best+original,2,1,lusearch,expected-best-steady-state+original,m1
Warmup,587,false,false,best+original,3,1,lusearch,expected-best-steady-state+original,m1
Warmup,551,false,false,best+original,4,1,lusearch,expected-best-steady-state+original,m1
Warmup,539,false,false,best+original,5,1,lusearch,expected-best-steady-state+original,m1
Warmup,516,false,false,best+original,6,1,lusearch,expected-best-steady-state+original,m1
Steady-state,514,true,false,best+original,7,1,lusearch,expected-best-steady-state+original,m1
Startup,1746,false,true,best+original,0,2,lusearch,expected-best-steady-state+original,m1
Warmup,600,false,false,best+original,1,2,lusearch,expected-best-steady-state+original,m1
Warmup,536,false,false,best+original,2,2,lusearch,expected-best-steady-state+original,m1
