"","diff","lwr","upr","p.adj","variable"
"original-0->hasharraylist",-0.0254503322201041,-0.0539606338772215,0.00305996943701332,0.142192479066416,"original-0->hasharraylist"
"original-0->linkedlist",0.00642473629618134,-0.022085565360936,0.0349350379532987,0.999991445424198,"original-0->linkedlist"
"original-1->arraymap",0.16137397477836,0.132863673121243,0.189884276435478,1.03661523809251e-12,"original-1->arraymap"
"original-2->arraymap",-0.0799427052241724,-0.10845300688129,-0.051432403567055,1.18760556944153e-12,"original-2->arraymap"
"original-3->arraymap",-0.120725663259284,-0.149235964916402,-0.0922153616021667,1.03661523809251e-12,"original-3->arraymap"
"original-4->arrayset",0.0193897533042842,-0.00912054835283322,0.0479000549614016,0.586839941219227,"original-4->arrayset"
"original-5->arrayset",-0.0749810821561061,-0.103491383813223,-0.0464707804989887,1.18849374786123e-12,"original-5->arrayset"
"original-6->arraylist",-0.0062513688671002,-0.0347616705242176,0.0222589327900172,0.99999406022617,"original-6->arraylist"
"original-6->hasharraylist",-0.0154156021240759,-0.0439259037811933,0.0130946995330415,0.888172006618194,"original-6->hasharraylist"
"original-7->arrayset",0.0124392139933196,-0.0160710876637978,0.040949515650437,0.981012802798073,"original-7->arrayset"
"original-8->arrayset",-0.02719771542111,-0.0557080170782274,0.00131258623600734,0.0802029270263371,"original-8->arrayset"
"original-9->arraymap",0.00691555804661359,-0.0215947436105038,0.035425859703731,0.99997744990212,"original-9->arraymap"
"original-expected-best-startup",0.0232050110790194,-0.00530529057809799,0.0517153127361368,0.267866230310209,"original-expected-best-startup"
"original-expected-best-steady-state",0.168452319327806,0.139942017670689,0.196962620984924,1.03661523809251e-12,"original-expected-best-steady-state"
"original-jbrainy",0.00153327605137044,-0.026977025605747,0.0300435777084878,1,"original-jbrainy"
